RU;20;1204;TransparentCalls;0.97;598;71;4
US;14;1673;E-Voice;0.88;427;13;13
GB;5;865;TransparentCalls;0.77;240;71;37
FR;19;1873;TransparentCalls;0.70;585;6;58
BL;36;1513;E-Voice;0.83;523;49;41
AT;98;366;TransparentCalls;0.96;628;62;27
BG;0;1043;E-Voice;0.95;771;2;46
DK;0;106;JustPhone;0.78;336;34;26
CA;48;564;JustPhone;0.65;340;61;14
ES;30;1813;E-Voice;0.96;191;23;29
CH;84;132;JustPhone;0.66;288;78;12
TR;73;246;TransparentCalls;0.83;456;6;16
PE;35;41;JustPhone;0.99;358;10;37
NZ;34;333;JustPhone;0.91;773;68;19
MC;65;139;E-Voice;0.60;723;86;15
